iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
6,RFC,1,2,True,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
7,RFC,1,2,True,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
8,RFC,1,2,True,No,0.6724137931034483,0.6724137931034482,-1.0,-1.0
9,RFC,1,2,True,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
0,SVC,1,2,False,No,0.5423728813559322,0.5419540229885058,-1.0,-1.0
1,SVC,1,2,False,No,0.6101694915254238,0.6097701149425288,-1.0,-1.0
2,SVC,1,2,False,No,0.6440677966101694,0.6419540229885058,-1.0,-1.0
3,SVC,1,2,False,No,0.6101694915254238,0.6103448275862069,-1.0,-1.0
4,SVC,1,2,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,SVC,1,2,False,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
6,SVC,1,2,False,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
7,SVC,1,2,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
8,SVC,1,2,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
9,SVC,1,2,False,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
0,RBF,1,2,False,No,0.576271186440678,0.5758620689655172,-1.0,-1.0
1,RBF,1,2,False,No,0.6949152542372882,0.6936781609195403,-1.0,-1.0
2,RBF,1,2,False,No,0.7457627118644068,0.7436781609195402,-1.0,-1.0
3,RBF,1,2,False,No,0.5932203389830508,0.5908045977011493,-1.0,-1.0
4,RBF,1,2,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
5,RBF,1,2,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
6,RBF,1,2,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
7,RBF,1,2,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
8,RBF,1,2,False,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
9,RBF,1,2,False,No,0.5517241379310345,0.5517241379310345,-1.0,-1.0
0,LR,1,2,False,No,0.5254237288135594,0.5172413793103449,0.6183908045977011,0.5642476632944873
1,LR,1,2,False,No,0.5084745762711864,0.5,0.6022988505747127,0.5950961475664163
2,LR,1,2,False,No,0.5084745762711864,0.5,0.7563218390804598,0.7653426341842576
3,LR,1,2,False,No,0.5084745762711864,0.5,0.5977011494252873,0.6662351252363578
4,LR,1,2,False,No,0.5,0.5,0.4268727705112961,0.4290138107779605
5,LR,1,2,False,No,0.5,0.5,0.6694411414982164,0.6717923859222131
6,LR,1,2,False,No,0.5,0.5,0.5410225921521997,0.4905034938732799
7,LR,1,2,False,No,0.5,0.5,0.6183115338882282,0.6454252882129972
8,LR,1,2,False,No,0.5,0.5,0.49108204518430437,0.49362984198846865
9,LR,1,2,False,No,0.5,0.5,0.5362663495838288,0.5952642284513711
0,GB,1,2,False,No,0.6779661016949152,0.678735632183908,-1.0,-1.0
1,GB,1,2,False,No,0.5084745762711864,0.5074712643678161,-1.0,-1.0
2,GB,1,2,False,No,0.6440677966101694,0.6419540229885058,-1.0,-1.0
3,GB,1,2,False,No,0.6779661016949152,0.6793103448275861,-1.0,-1.0
4,GB,1,2,False,No,0.7931034482758621,0.7931034482758621,-1.0,-1.0
5,GB,1,2,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
6,GB,1,2,False,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
7,GB,1,2,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
