iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,max_edge_scale,max_edge_moment,centered_edge_features,pca,MAE,MSE,RMSE
0,1,1,False,1,1,False,No,0.8919792224081883,1.228446387982492,1.108353006935287
1,1,1,False,1,1,False,No,0.9340930168460291,1.332369498567386,1.154283110232228
2,1,1,False,1,1,False,No,0.8852391185345092,1.2150424181162134,1.1022896253327497
3,1,1,False,1,1,False,No,0.8921519949275197,1.252977464780625,1.1193647594866587
4,1,1,False,1,1,False,No,0.8640538133839784,1.1369825649969605,1.066293845521468
0,1,1,False,1,1,False,No,0.8570643134531137,1.1328220624084648,1.0643411400525984
1,1,1,False,1,1,False,No,0.8975288438289765,1.2026431754253097,1.096650890404649
2,1,1,False,1,1,False,No,0.9546661666595325,1.3628265897035183,1.1674016402693284
3,1,1,False,1,1,False,No,0.8863380369306237,1.2197276366947654,1.1044128017615358
4,1,1,False,1,1,False,No,0.9067892611087074,1.2910150424362425,1.1362284288100886
0,1,1,False,1,1,False,No,0.8788974028394172,1.169444016680128,1.0814083487194501
1,1,1,False,1,1,False,No,0.934256463535477,1.3156741754199575,1.1470284109035649
2,1,1,False,1,1,False,No,0.9368435200642371,1.3867805669331055,1.1776164770132531
3,1,1,False,1,1,False,No,0.925024835443148,1.291470832814411,1.1364289827412934
4,1,1,False,1,1,False,No,0.8958778290540372,1.2742443857218368,1.1288243378497103
0,1,1,False,1,1,False,No,0.8767285492097245,1.2191471179575617,1.1041499526593124
1,1,1,False,1,1,False,No,0.9281985715351311,1.3127004275473042,1.1457313941527936
2,1,1,False,1,1,False,No,0.9539918963529477,1.3950458630803366,1.1811205963322868
3,1,1,False,1,1,False,No,0.8923009740029646,1.2350580421902737,1.1113316526538213
4,1,1,False,1,1,False,No,0.9188322737043131,1.2922563780693415,1.136774550238235
0,1,1,False,1,1,False,No,0.8901867697066939,1.2007847977898083,1.0958032660061787
1,1,1,False,1,1,False,No,0.92219607959925,1.2995508653932983,1.1399784495302085
2,1,1,False,1,1,False,No,0.8802967280540968,1.232789849430448,1.110310699502823
3,1,1,False,1,1,False,No,0.8858274219350175,1.2028260167546443,1.0967342507438365
4,1,1,False,1,1,False,No,0.9142133896140965,1.2822003827314217,1.1323428733080019
0,1,1,False,1,1,False,No,0.9311462772178856,1.3151741926481837,1.146810443206803
1,1,1,False,1,1,False,No,0.9176669812420445,1.299753468009227,1.1400673085433277
2,1,1,False,1,1,False,No,0.872986553087374,1.2293507135754578,1.1087608910741116
3,1,1,False,1,1,False,No,0.9210597002721502,1.2743027369141031,1.128850183555862
4,1,1,False,1,1,False,No,0.9068444866291089,1.2825974543429532,1.1325181916167852
0,1,1,False,1,1,False,No,0.8949274940181396,1.2072089398790562,1.0987306038693272
1,1,1,False,1,1,False,No,0.8774785359535384,1.2159850208074074,1.1027171082410063
2,1,1,False,1,1,False,No,0.8899577099624943,1.2321463083229105,1.110020859408917
3,1,1,False,1,1,False,No,0.9079182185838841,1.2566632894826166,1.1210099417412036
