iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
43,1,2,False,No,0.8873029780815423,1.2373241820626764,1.112350745971196
44,1,2,False,No,0.9103288530210661,1.2825981974538734,1.132518519695759
45,1,2,False,No,0.9116013724646902,1.2632559605143456,1.1239466003838197
46,1,2,False,No,0.8875834589970745,1.1944264682058547,1.0928981966340026
47,1,2,False,No,0.9018042090105948,1.2795853124558154,1.1311875673184424
48,1,2,False,No,0.9316216026576699,1.3563989549259938,1.1646454202571672
49,1,2,False,No,0.9141854779776862,1.3091064159893548,1.1441618836464336
0,1,3,False,No,0.8498863052051806,1.129617509351772,1.0628346575793302
1,1,3,False,No,0.8742160391700152,1.1889395433477326,1.0903850436188733
2,1,3,False,No,0.8504544008678128,1.1255768105183492,1.0609320480211488
3,1,3,False,No,0.8847357889396774,1.215037843721955,1.1022875503796434
4,1,3,False,No,0.8648538258311641,1.1955159813333136,1.0933965343521597
5,1,3,False,No,0.8783268845271834,1.1816772058318532,1.087049771552275
6,1,3,False,No,0.8673045699397546,1.1611598388338538,1.0775712685636407
7,1,3,False,No,0.8584521496036972,1.1196135073894178,1.0581179080751908
8,1,3,False,No,0.8664142371263209,1.1748655212023693,1.0839121372151754
9,1,3,False,No,0.8772057972524319,1.165697811341879,1.0796748637167946
10,1,3,False,No,0.8707820806721234,1.1669051497209417,1.0802338402961378
11,1,3,False,No,0.8888943763831837,1.1921924787594353,1.0918756700098393
12,1,3,False,No,0.8810831039926439,1.2088813429063303,1.0994914019246946
13,1,3,False,No,0.8931594204190774,1.2385134077014457,1.11288517273861
14,1,3,False,No,0.8794457304863876,1.198821058311861,1.0949068719812938
15,1,3,False,No,0.8634798455542569,1.176594664882507,1.0847094840935554
16,1,3,False,No,0.8775714871752192,1.1841895582976336,1.0882047409828877
17,1,3,False,No,0.8263565903522804,1.0696810355602946,1.034253854505892
18,1,3,False,No,0.8776786228230111,1.2364654717144719,1.111964689958486
19,1,3,False,No,0.8475264477232833,1.1342835677505883,1.0650274962415704
20,1,3,False,No,0.8704199412445238,1.1993656667449748,1.0951555445437762
21,1,3,False,No,0.8823735886939543,1.1972045614088282,1.0941684337472126
22,1,3,False,No,0.8679148161610288,1.192744703940029,1.0921285198821744
23,1,3,False,No,0.8485061512808105,1.137081422737599,1.066340200282067
24,1,3,False,No,0.8616090001781559,1.1541194411760447,1.0742995118569332
25,1,3,False,No,0.8682901986238505,1.1774281034321503,1.0850935920150622
26,1,3,False,No,0.8852682971361763,1.2350730075248144,1.11133838569754
27,1,3,False,No,0.8677788539932947,1.1453067771697178,1.0701900659087233
28,1,3,False,No,0.8608979499310115,1.1378806528561891,1.0667148882696769
29,1,3,False,No,0.8887476424862942,1.2422896397708647,1.1145804770275067
30,1,3,False,No,0.8494445082917552,1.1221742272073048,1.0593272521781476
31,1,3,False,No,0.8762700513123396,1.1784957003585186,1.08558541826911
32,1,3,False,No,0.842835457259816,1.1378822324405822,1.0667156286661323
33,1,3,False,No,0.8611139118234189,1.164511699345833,1.0791254326285862
34,1,3,False,No,0.8934753196848292,1.2364671892875683,1.111965462272803
35,1,3,False,No,0.8638991951806952,1.1640791274850686,1.0789249869592736
36,1,3,False,No,0.873231802168211,1.1885807244493165,1.0902204935008866
37,1,3,False,No,0.8376241016887047,1.0984723363623106,1.0480803100728067
38,1,3,False,No,0.8745173257202278,1.2057364156225663,1.0980602968974729
39,1,3,False,No,0.8758796810434458,1.1785153748147452,1.0855944799116957
40,1,3,False,No,0.85657066227208,1.1608244030614785,1.0774156129653396
41,1,3,False,No,0.8541536635837244,1.1287400952509867,1.0624218066526057
42,1,3,False,No,0.8415490079899811,1.1185290039956315,1.0576053157939551
43,1,3,False,No,0.8979251350677037,1.2272386721569035,1.1078080484257657
44,1,3,False,No,0.853859179116143,1.1475904285299947,1.0712564718730966
45,1,3,False,No,0.8737977745617337,1.2052976801914816,1.0978605012438882
46,1,3,False,No,0.8711918189449346,1.1905907155791053,1.0911419319131244
47,1,3,False,No,0.8827184256883774,1.2109769703785838,1.1004439878424452
48,1,3,False,No,0.8822705868472586,1.2177002972818043,1.103494584165144
49,1,3,False,No,0.8863225503635932,1.253747763143886,1.1197087849721847
0,1,4,False,No,0.8337129267622477,1.0746076713812691,1.0366328527406745
1,1,4,False,No,0.8430991018355145,1.0974937134266218,1.0476133415657811
